awg_size,material,dia_in,dia_mm,area_kcmil,area_mm2,k_ohm_km,k_ohm_kft,amps_60c,amps_75c,amps_90c,line_num
-4,cu,0.46,11.684,212,107,0.1608,0.04901,409,483,546,3
-4,cu,0.46,11.684,212,107,0.1608,0.04901,312,368,416,2
-4,cu,0.46,11.684,212,107,0.1608,0.04901,195,230,260,1
-3,cu,0.4096,10.405,168,85,0.2028,0.0618,346,420,472,3
-3,cu,0.4096,10.405,168,85,0.2028,0.0618,264,320,360,2
-3,cu,0.4096,10.405,168,85,0.2028,0.0618,165,200,225,1
-2,cu,0.3648,9.266,133,67.4,0.2557,0.07793,304,367,409,3
-2,cu,0.3648,9.266,133,67.4,0.2557,0.07793,232,280,312,2
-2,cu,0.3648,9.266,133,67.4,0.2557,0.07793,145,175,195,1
-1,cu,0.3249,8.251,106,53.5,0.3224,0.09827,262,315,357,3
-1,cu,0.3249,8.251,106,53.5,0.3224,0.09827,200,240,272,2
-1,cu,0.3249,8.251,106,53.5,0.3224,0.09827,125,150,170,1
1,cu,0.2893,7.348,83.7,42.4,0.4066,0.1239,110,130,145,1
2,cu,0.2576,6.544,66.4,33.4,0.5127,0.1563,95,115,130,1
3,cu,0.2294,5.827,52.6,26.7,0.6465,0.197,85,100,115,1
4,cu,0.2043,5.189,41.7,21.2,0.8152,0.2485,70,85,95,1
6,cu,0.162,4.115,26.3,13.3,1.296,0.3951,55,65,75,1
8,cu,0.1285,3.264,16.5,8.37,2.061,0.6282,40,50,55,1
10,cu,0.1019,2.588,10.4,5.26,3.277,0.9989,30,35,40,1
12,cu,0.0808,2.053,6.53,3.31,5.211,1.588,20,25,30,1
14,cu,0.0641,1.628,4.11,2.08,8.286,2.525,15,20,25,1
-4,al,0.46,11.684,212,107,0.1608,0.04901,315,378,430,3
-4,al,0.46,11.684,212,107,0.1608,0.04901,240,288,328,2
-4,al,0.46,11.684,212,107,0.1608,0.04901,150,180,205,1
-3,al,0.4096,10.405,168,85,0.2028,0.0618,273,325,367,3
-3,al,0.4096,10.405,168,85,0.2028,0.0618,208,248,280,2
-3,al,0.4096,10.405,168,85,0.2028,0.0618,130,155,175,1
-2,al,0.3648,9.266,133,67.4,0.2557,0.07793,241,283,315,3
-2,al,0.3648,9.266,133,67.4,0.2557,0.07793,184,216,240,2
-2,al,0.3648,9.266,133,67.4,0.2557,0.07793,115,135,150,1
-1,al,0.3249,8.251,106,53.5,0.3224,0.09827,210,252,283,3
-1,al,0.3249,8.251,106,53.5,0.3224,0.09827,160,192,216,2
-1,al,0.3249,8.251,106,53.5,0.3224,0.09827,100,120,135,1
1,al,0.2893,7.348,83.7,42.4,0.4066,0.1239,85,100,115,1
2,al,0.2576,6.544,66.4,33.4,0.5127,0.1563,75,90,100,1
3,al,0.2294,5.827,52.6,26.7,0.6465,0.197,65,75,85,1
4,al,0.2043,5.189,41.7,21.2,0.8152,0.2485,55,65,75,1
6,al,0.162,4.115,26.3,13.3,1.296,0.3951,40,50,55,1
8,al,0.1285,3.264,16.5,8.37,2.061,0.6282,35,40,45,1
10,al,0.1019,2.588,10.4,5.26,3.277,0.9989,25,30,35,1
12,al,0.0808,2.053,6.53,3.31,5.211,1.588,15,20,25,1
14,al,0.0641,1.628,4.11,2.08,8.286,2.525,0,0,0,1
