Counter_Group,Regex,Counter_Description,Unit
CxiPerfStats,^HNI_PKTS_SENT_BY_TC_\d+$,"Number of packets sent in traffic class <n>; 8 counters, default classes are 0 for request and 1 for response.",packets
CxiPerfStats,^HNI_PKTS_RECV_BY_TC_\d+$,"Number of packets received in traffic class <n>; 8 counters, default classes are 0 for request and 1 for response.",packets
CxiPerfStats,^HNI_TX_PAUSED_\d+$,Number of cycles in which the transmit path is paused for traffic class <n>; default classes are 0 for request and 1 for response. Indicates that this endpoint is supplying data faster than the network can deliver it. Divide by 1E9 to determine the proportion of time paused.,cycles
CxiPerfStats,^HNI_RX_PAUSED_\d+$,Number of cycles in which the pause is applied on the receive path for traffic class <n>; default classes are 0 for request and 1 for response. Indicates that the network is supplying data faster than this endpoint can consume it. Divide by 1E9 to determine the proportion of time paused.,cycles
CxiPerfStats,^PARBS_TARB_PI_POSTED_PKTS$,"Number of PCIe packets transferred using the posted path (for example, writes).",packets
CxiPerfStats,^PARBS_TARB_PI_POSTED_BLOCKED_CNT$,Number of cycles in which this path is blocked. Compute the ratio cycles/pkts. Values of more than a few cycles per packet indicate back pressure from the host.,cycles
CxiPerfStats,^PARBS_TARB_PI_NON_POSTED_PKTS$,"Number of PCIe packets transferred using the non-posted path (for example, reads).",packets
CxiPerfStats,^PARBS_TARB_PI_NON_POSTED_BLOCKED_CNT$,Number of cycles in which this path is blocked. Compute the ratio cycles/pkts. Values of more than a few cycles per packet indicate per host performance issues.,cycles
CxiPerfStats,^LPE_NET_MATCH_PRIORITY_\d+$,Number of messages matched on the priority list (or receive was posted before the message arrived). Lower‐cost direct writes.,messages
CxiPerfStats,^LPE_NET_MATCH_OVERFLOW_\d+$,Number of messages delivered to an overflow buffer due to no priority match. Higher‐cost copies.,messages
CxiPerfStats,^ATU_CACHE_MISS_\d+$,Number of misses in the NIC translation cache. Four counters (4 K / 2 M pages).,count
CxiPerfStats,^ATU_CACHE_EVICTIONS_\d+$,Number of times a tag was evicted from the NIC translation cache.,count
CxiErrStats,^PCT_SPT_TIMEOUTS$,Number of response timeouts (or packet loss).,count
CxiErrStats,^PCT_SCT_TIMEOUTS$,Number of retry‐handler timeouts.,count
CxiErrStats,^PCT_NO_TCT_NACKS$,Number of resource‐exhaustion NACKs.,count
CxiErrStats,^PCT_NO_TRS_NACKS$,Number of TRS‐level NACKs.,count
CxiErrStats,^PCT_NO_MST_NACKS$,Number of MST‐level NACKs.,count
